WOY,WOD,Date,Exercise,Reps,Weight
7,4,2025-02-14,Row,12,45
7,4,2025-02-14,Lat Pulldown,8,25 lbs
7,4,2025-02-14,Bench Press,6,25 lbs
7,4,2025-02-14,Cable Flyes,6,25 lbs
7,3,2025-02-13,Deadlift,8,35 lbs
7,4,2025-02-14,Incline Dumbbell Press,6,25 lbs
